#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.kgXref.mRNA	mm10.kgXref.geneSymbol
uc057amx.1	chr8	+	107256163	107459374	NR_039557	Mir5098
uc009nhk.2	chr8	+	107293469	107358781	AK134022	Nfat5
uc012gkd.1	chr8	+	107293469	107379517	NM_133957	Nfat5
uc009nhl.2	chr8	+	107293469	107379517	NM_018823	Nfat5
uc012gke.1	chr8	+	107358633	107379517	AK122381	Nfat5
uc009nhq.1	chr8	-	107388224	107403205	NM_008706	Nqo1
uc009nhr.1	chr8	-	107412488	107425038	NM_026277	Nob1
uc009nhu.1	chr8	+	107436397	107518708	AK141281	Wwp2
uc009nhv.1	chr8	+	107436397	107558595	NM_025830	Wwp2
uc009nhw.1	chr8	+	107483331	107546152	AK053749	Wwp2
uc009nhx.2	chr8	+	107545011	107558595	AK159248	Wwp2
uc012gkf.1	chr8	+	107551243	107551313	NR_029553	Mir140
uc009nhy.1	chr8	+	107551336	107558595	BC018496	Wwp2
uc009nhz.2	chr8	-	107580379	107588482	NM_010817	Psmd7
uc009nid.1	chr8	+	108714643	108961636	NM_007496	Zfhx3
uc012gkg.1	chr8	+	108936859	108936938	NR_037295	Mir3108
uc009nih.2	chr8	-	109339799	109340908	NR_002928	Gm1943
uc009nii.2	chr8	+	109494026	109542642	NM_019938	Pmfbp1
uc009nij.1	chr8	-	109548023	109565601	NM_178380	Dhx38
uc009nil.1	chr8	-	109558643	109565601	AK017828	Dhx38
uc012gkh.1	chr8	+	109565985	109574051	NM_175646	Txnl4b
uc009nin.2	chr8	-	109575127	109579172	NM_017370	Hp
uc009nip.1	chr8	-	109593247	109608673	NM_020046	Dhodh
uc009niq.1	chr8	-	109601330	109608673	AK088863	Dhodh
uc009nir.1	chr8	-	109601330	109608673	AK149350	Dhodh
uc009nit.1	chr8	+	109614516	109670721	NM_181544	Pkd1l3
uc009niu.1	chr8	+	109614516	109672592	NM_001039700	Pkd1l3
uc009niz.2	chr8	-	109671320	109693294	NM_028018	Ist1
uc009njc.3	chr8	+	109705545	109724932	NM_001167946	Zfp821
uc009njf.2	chr8	+	109706018	109724932	NM_029468	Zfp821
uc009njh.1	chr8	-	109726450	109737739	NM_001080930	Atxn1l
uc009nji.1	chr8	-	109726450	109737739	AK154744	Atxn1l
uc033jho.1	chr8	-	109731564	109733628	CCDS40474	Atxn1l
uc033jhp.2	chr8	+	109778582	109864209	NM_009677	Ap1g1
uc033jhq.2	chr8	+	109802946	109864209	CCDS40475	Ap1g1
uc012gkm.1	chr8	+	109839311	109839375	NR_028532	Snord71
uc009njn.2	chr8	+	109868602	109944671	NM_001122594	Phlpp2
uc009njp.2	chr8	-	109947908	109962205	NM_212447	Marveld3
uc009njq.2	chr8	-	109952908	109962205	NM_028584	Marveld3
uc009njs.2	chr8	+	109990435	109999804	NM_146214	Tat
uc009njt.2	chr8	-	110029074	110039334	NM_011998	Chst4
uc033jhr.1	chr8	-	110029813	110030980	CCDS22659	Chst4
uc009njv.2	chr8	+	110079733	110092752	NM_175480	Zfp612
uc009nkn.1	chr8	-	110137503	110168206	AK032171	Calb2
uc009nko.1	chr8	-	110142537	110168206	NM_007586	Calb2
uc009nkp.2	chr8	+	110217959	110224489	NM_146215	Cmtr2
uc033jhs.1	chr8	+	110221059	110223363	CCDS22662	Cmtr2
uc009nks.1	chr8	+	110266976	110610253	NM_172916	Hydin
uc009nkv.2	chr8	+	110618637	110720398	NM_146216	Vac14
uc009nkx.2	chr8	+	110721475	110741401	NM_198625	Mtss1l
uc012gko.1	chr8	-	110741828	110755650	EU636995	Il34
uc009nkz.3	chr8	-	110741828	110805924	NM_029646	Il34
uc009nla.3	chr8	-	110741828	110805924	NM_001135100	Il34
uc009nlb.1	chr8	-	110810491	110846803	NM_133953	Sf3b3
uc009nlc.1	chr8	-	110824434	110846803	AK046845	Sf3b3
uc012gkp.1	chr8	-	110838534	110838598	NR_028559	Snord111
uc009nlf.1	chr8	+	110847023	110882234	NM_133973	Cog4
uc009nlg.2	chr8	-	110882455	110902488	NM_172283	Fuk
uc009nlj.2	chr8	+	110919864	110969823	AK029246	St3gal2
uc009nlk.2	chr8	+	110919864	110972497	NM_009179	St3gal2
uc009nll.2	chr8	-	110974990	110997823	NM_007916	Ddx19a
uc009nlm.2	chr8	-	111003185	111027770	NM_172284	Ddx19b
uc012gkq.1	chr8	-	111003185	111027770	NM_001190800	Ddx19b
uc009nln.2	chr8	-	111003185	111031751	NM_001190786	Ddx19b
uc029wwb.1	chr8	-	111016449	111016530	NR_039583	Mir3473d
uc009nlo.2	chr8	+	111033841	111055569	NM_146217	Aars
uc009nlp.2	chr8	+	111056338	111057664	NM_028274	Exosc6
uc009nlt.1	chr8	-	111064337	111082088	AY223871	Clec18a
uc009nls.1	chr8	-	111064337	111082088	AY223873	Clec18a
uc012gkt.1	chr8	-	111069496	111081708	NM_181549	Clec18a
uc009nlw.1	chr8	+	111094744	111135144	NM_198308	Pdpr
uc009nlx.2	chr8	-	111127443	111145498	NR_040363	9430091E24Rik
uc009nly.2	chr8	-	111127443	111145498	NR_040364	9430091E24Rik
uc012gkv.1	chr8	-	111157557	111177782	BC010595	Glg1
uc009nma.1	chr8	-	111157557	111259202	NM_009149	Glg1
uc009nmb.1	chr8	-	111270943	111300222	NM_146218	Rfwd3
uc009nmd.2	chr8	-	111311797	111338205	NM_029005	Mlkl
uc009nmf.2	chr8	-	111345137	111393821	NM_178086	Fa2h
uc009nmg.2	chr8	-	111347469	111393821	AK033736	Fa2h
uc009nmi.2	chr8	-	111448783	111522107	NM_001170743	Wdr59
uc009nmh.2	chr8	-	111448783	111522107	NM_176923	Wdr59
uc009nmj.2	chr8	-	111448783	111522107	NM_001170742	Wdr59
uc009nml.2	chr8	+	111536639	111626030	NM_001168621	Znrf1
uc009nmk.2	chr8	+	111536639	111626030	NM_133206	Znrf1
uc012gkw.1	chr8	+	111536639	111626030	NM_001168622	Znrf1
uc012gkx.1	chr8	+	111538342	111626030	NM_001168623	Znrf1
uc009nmn.1	chr8	-	111626270	111630322	NM_027570	Ldhd
uc009nmo.1	chr8	+	111643442	111671011	NM_001037665	Zfp1
uc009nmp.1	chr8	+	111643442	111671011	NM_011742	Zfp1
uc009nms.2	chr8	-	111686509	111691010	NM_025583	Ctrb1
uc009nmt.2	chr8	-	111710474	111732136	NM_001198839	Bcar1
uc009nmu.2	chr8	-	111710474	111743849	NM_009954	Bcar1
uc009nmx.1	chr8	-	111768472	111854310	NM_011801	Cfdp1
uc009nmy.1	chr8	-	111864897	111876675	NM_025781	Tmem170
uc009nmz.1	chr8	-	111889134	111910199	NM_019950	Chst5
uc033jhy.1	chr8	-	111889798	111890986	CCDS22682	Chst5
uc009nna.1	chr8	-	111912017	111933791	NM_001033321	Tmem231
uc009nnb.2	chr8	+	111940702	111952915	NM_026693	Gabarapl2
uc009nnc.1	chr8	-	111966907	111992302	NM_013925	Adat1
uc009nnd.1	chr8	-	111970864	111992302	BC019976	Adat1
uc012gkz.1	chr8	-	111970864	111992302	AK035614	Adat1
uc009nng.3	chr8	-	111993438	112011354	NM_001130868	Kars
uc009nne.3	chr8	-	111993438	112011354	NM_053092	Kars
uc012gla.1	chr8	+	112011358	112020528	NM_020584	Terf2ip
uc009nnh.1	chr8	+	112011401	112013641	AK163044	Terf2ip
uc009nnj.1	chr8	+	112570042	112859516	AK081891	Cntnap4
uc009nnk.1	chr8	+	112570042	112882707	NM_130457	Cntnap4
uc012glb.1	chr8	+	112570042	112882707	AK053611	Cntnap4
uc009nnm.1	chr8	+	113067261	113093333	NR_033584	Gm10280
uc009nnn.2	chr8	+	113635585	113645192	NM_001048143	Mon1b
uc009nno.2	chr8	+	113635798	113645192	NM_173015	Mon1b
uc009nnp.1	chr8	+	113643212	113655533	NM_029139	Syce1l
uc009nnq.1	chr8	+	113643212	113655533	NM_001048145	Syce1l
uc009nnr.1	chr8	-	113698136	113848839	NM_172466	Adamts18
uc009nnw.3	chr8	+	114133573	114152312	NM_024437	Nudt7
uc009nny.3	chr8	+	114133573	114152312	NM_024446	Nudt7
uc009noa.1	chr8	+	114205639	114374070	NM_173016	Vat1l
uc009nob.2	chr8	+	114418033	114428133	NM_001007223	Clec3a
uc009nod.2	chr8	+	114439651	115352712	NM_019573	Wwox
uc009noe.2	chr8	-	115682941	115706863	AK152074	Maf
uc009nof.1	chr8	-	115703252	115706894	NM_001025577	Maf
uc009nog.1	chr8	+	116505014	116515915	NM_029297	Dynlrb2
uc009noh.1	chr8	+	116505014	116515915	BC048623	Dynlrb2
uc009noi.2	chr8	-	116568723	116732991	NM_029441	Cdyl2
uc009nom.1	chr8	-	116888684	116921436	NM_026844	Cmc2
uc009noo.1	chr8	+	116921739	116941503	NM_028131	Cenpn
uc009nop.2	chr8	+	116943392	116960445	NM_177700	Atmin
uc009noq.1	chr8	-	116969598	116978943	NM_027103	1700030J22Rik
uc009nos.1	chr8	-	116969598	116978959	BC100501	1700030J22Rik
uc009not.1	chr8	-	116981827	116993449	NM_026572	Gcsh
uc012gli.1	chr8	-	116995678	117082449	NM_029686	Pkd1l2
uc012gll.1	chr8	+	117095864	117133720	NM_001163028	Bco1
uc009now.2	chr8	+	117095864	117133720	NM_021486	Bco1
uc009nox.1	chr8	+	117158134	117205186	NM_001081151	Gan
uc009noz.2	chr8	+	117257018	117446188	AK085367	Cmip
uc012gln.1	chr8	+	117257018	117461505	NM_001163262	Cmip
uc009npa.2	chr8	+	117349169	117461505	NM_028941	Cmip
uc009npb.2	chr8	+	117446978	117461505	AK165728	Cmip
uc009npc.2	chr8	+	117498274	117635142	NM_172285	Plcg2
uc009npd.1	chr8	-	117661398	117671515	NM_028725	Sdr42e1
uc009npe.1	chr8	-	117661398	117673636	BC038819	Sdr42e1
uc009npf.1	chr8	+	117701945	117759029	NM_008290	Hsd17b2
uc009npg.1	chr8	-	117791644	117801929	NM_026758	Mphosph6
uc009npj.2	chr8	+	118283610	118968868	AK034995	Cdh13
uc009npk.2	chr8	+	118283610	119202402	AK029195	Cdh13
uc009npl.2	chr8	+	118283610	119324927	NM_019707	Cdh13
uc009npm.1	chr8	+	119344537	119348929	NM_024219	Hsbp1
uc009npn.1	chr8	+	119394891	119411088	NM_019966	Mlycd
uc009npp.1	chr8	+	119437161	119446256	NM_027950	Osgin1
uc009npq.1	chr8	+	119446718	119472635	NM_054095	Necab2
uc009npr.1	chr8	-	119479602	119501698	NM_001009950	Slc38a8
uc009nps.2	chr8	-	119508151	119558761	NM_019709	Mbtps1
uc009npt.2	chr8	-	119508151	119558761	NM_001167910	Mbtps1
uc009npu.2	chr8	-	119561977	119569995	AK162245	Hsdl1
uc009npv.2	chr8	-	119561977	119575200	NM_175185	Hsdl1
uc009npw.1	chr8	+	119575234	119598454	NM_026648	Dnaaf1
uc009npy.1	chr8	-	119597973	119605240	NM_021441	Taf1c
uc009nqa.2	chr8	+	119612746	119616926	NM_029428	Adad2
uc009nqb.1	chr8	-	119623853	119635680	NM_025734	Kcng4
uc009nqd.1	chr8	+	119666364	119683959	AK018575	Wfdc1
uc009nqe.1	chr8	+	119666364	119688020	NM_023395	Wfdc1
uc009nqf.1	chr8	+	119666364	119688020	BC025850	Wfdc1
uc009nqg.1	chr8	+	119700008	119757718	NM_026922	Atp2c2
uc009nqh.1	chr8	-	119760586	119778416	NM_028883	Tldc1
uc012glt.1	chr8	-	119809213	119840579	NM_028071	Cotl1
uc009nql.1	chr8	+	119862304	119870716	AK164240	Klhl36
uc009nqm.1	chr8	+	119862304	119876989	NM_146219	Klhl36
uc009nqn.2	chr8	+	119910359	119957559	NM_009462	Usp10
uc012glu.2	chr8	+	119992437	120052794	NM_030209	Crispld2
uc009nqq.3	chr8	+	120002725	120052794	AK019034	Crispld2
uc009nqr.1	chr8	-	120081094	120101472	NM_133967	Zdhhc7
uc009nqs.1	chr8	+	120114151	120150353	BC016247	6430548M08Rik
uc009nqt.1	chr8	+	120114151	120154574	NM_001163762	6430548M08Rik
uc009nqu.2	chr8	+	120114151	120165307	NM_172286	6430548M08Rik
uc009nqv.2	chr8	+	120114151	120165307	NM_001163761	6430548M08Rik
uc009nqw.2	chr8	+	120144928	120165307	NM_001163760	6430548M08Rik
uc033jic.1	chr8	-	120166396	120177469	NM_001033980	Fam92b
uc033jid.1	chr8	-	120166396	120177469	CCDS22717	Fam92b
uc009nqz.2	chr8	+	120488865	120581383	NM_198671	Gse1
uc009nra.2	chr8	+	120535856	120581383	NM_001145897	Gse1
uc009nrb.2	chr8	+	120537408	120581383	NM_001145896	Gse1
uc009nrc.2	chr8	+	120566367	120581383	AK122216	Gse1
uc009nrd.1	chr8	-	120581265	120589075	NM_178856	Gins2
uc009nre.2	chr8	-	120608599	120634382	NM_197988	1190005I06Rik
uc009nrf.2	chr8	-	120653913	120668142	NM_010926	Emc8
uc009nrh.2	chr8	+	120668224	120674209	NM_009941	Cox4i1
uc009nrk.2	chr8	+	120736357	120756692	NM_008320	Irf8
uc009nrl.2	chr8	-	121054881	121083110	NR_045471	Fendrr
uc009nrn.2	chr8	+	121084385	121088154	NM_010426	Foxf1
uc009nro.1	chr8	-	121097556	121108379	NM_001166482	Mthfsd
uc009nrp.2	chr8	-	121097556	121108379	NM_172761	Mthfsd
uc012glx.1	chr8	+	121116170	121118894	NM_013519	Foxc2
uc009nrs.1	chr8	+	121127684	121130644	NM_008024	Foxl1
uc009nrt.1	chr8	-	121530783	121541954	NM_029597	1700018B08Rik
uc009nrv.3	chr8	-	121549442	121578806	NM_133765	Fbxo31
uc009nrw.1	chr8	+	121590467	121598047	NM_026160	Map1lc3b
uc009nrx.2	chr8	-	121598702	121651933	NM_080855	Zcchc14
uc009nry.1	chr8	-	121600360	121605268	BC009020	Zcchc14
uc009nrz.2	chr8	+	121730558	121791083	NM_020605	Jph3
uc009nsb.2	chr8	-	121796307	121829569	NM_145605	Klhdc4
uc009nsc.2	chr8	-	121881145	121907686	NM_011404	Slc7a5
uc009nse.1	chr8	+	121907832	121918428	NM_001033485	BC048644
uc009nsf.2	chr8	-	121916137	121944912	NM_007608	Car5a
uc009nsg.3	chr8	+	121950491	122029260	NM_016812	Banp
uc012gma.2	chr8	+	121950491	122029260	NM_001110100	Banp
uc009nsj.1	chr8	+	122282140	122337247	NM_009569	Zfpm1
uc009nsk.1	chr8	-	122356966	122360746	NM_133202	Trhr2
uc009nsm.2	chr8	+	122376608	122417365	NM_001029993	Zc3h18
uc009nsn.2	chr8	+	122376608	122417365	NM_001029994	Zc3h18
uc012gmc.1	chr8	+	122422084	122423639	NM_145834	Il17c
uc009nsp.2	chr8	-	122424770	122432940	NM_007806	Cyba
uc009nst.2	chr8	-	122433595	122443422	NR_028354	Mvd
uc009nss.2	chr8	-	122433595	122443422	NM_138656	Mvd
uc029wwq.1	chr8	-	122445267	122451322	NR_015497	Gm20735
uc009nsw.1	chr8	-	122454205	122460692	NM_013914	Snai3
uc009nsx.1	chr8	-	122466146	122476064	NM_001033142	Rnf166
uc009nsz.2	chr8	+	122476142	122483092	NM_153775	Ctu2
uc009ntb.2	chr8	-	122481697	122495617	BC042207	Piezo1
uc012gme.1	chr8	-	122481697	122551329	NM_001037298	Piezo1
uc012gmf.1	chr8	-	122481697	122551329	HQ215520	Piezo1
uc009ntd.1	chr8	+	122568014	122573130	NM_026014	Cdt1
uc009ntf.1	chr8	-	122574636	122576907	NM_009698	Aprt
uc009nth.1	chr8	-	122575900	122576907	AK148338	Aprt
uc012gmh.1	chr8	-	122578236	122611487	NM_016722	Galns
uc012gmi.1	chr8	-	122578236	122611487	NM_001193645	Galns
uc009ntj.2	chr8	+	122611625	122615591	NM_021502	Trappc2l
uc009ntk.1	chr8	-	122619470	122622735	NM_001007462	Pabpn1l
uc012gmj.1	chr8	-	122619470	122622735	BC145634	Pabpn1l
uc009ntl.2	chr8	-	122625135	122678175	NM_001109873	Cbfa2t3
uc009ntm.2	chr8	-	122625135	122678175	NM_177289	Cbfa2t3
uc009ntn.2	chr8	-	122625135	122699109	NM_009824	Cbfa2t3
uc009nts.1	chr8	+	122775504	122814426	AK144352	Acsf3
uc009ntt.1	chr8	+	122775504	122817881	NM_144932	Acsf3
uc009ntu.1	chr8	+	122775577	122780635	AK219530	Acsf3
uc009ntv.1	chr8	+	122848373	122867397	NM_007662	Cdh15
uc012gml.1	chr8	-	122883821	123042284	NR_037865	Ankrd11
uc009ntz.2	chr8	-	122883821	123042284	NM_001081379	Ankrd11
uc009nty.1	chr8	-	122889638	122903725	AK164512	Ankrd11
uc029wwr.1	chr8	+	123042574	123044602	NR_045268	2810013P06Rik
uc009nuc.1	chr8	+	123062987	123097751	BC055488	Spg7
uc009nud.1	chr8	+	123065507	123097751	NM_153176	Spg7
uc009nue.2	chr8	+	123102349	123105242	NM_016738	Rpl13
uc012gmm.1	chr8	+	123103057	123103105	NR_028128	Snord68
uc009nuf.1	chr8	+	123117373	123135185	NM_170684	Cpne7
uc009nuh.2	chr8	-	123142846	123158280	NM_020564	Sult5a1
uc009nui.2	chr8	+	123186234	123201813	NM_007876	Dpep1
uc009nuj.2	chr8	+	123193950	123201813	AK002380	Dpep1
uc009nuk.2	chr8	-	123204260	123212788	NM_145606	Chmp1a
uc009nul.1	chr8	+	123212857	123222045	NM_177279	Spata33
uc009num.1	chr8	+	123224840	123230327	BC128325	Cdk10
uc009nun.2	chr8	+	123224840	123232256	NM_194446	Cdk10
uc009nuo.2	chr8	+	123224840	123232256	NM_194444	Cdk10
uc012gmo.1	chr8	+	123224840	123232256	AK170594	Cdk10
uc009nup.1	chr8	-	123232257	123236207	AK220503	Spata2l
uc009nuq.1	chr8	-	123232257	123236209	NM_030176	Spata2l
uc009nuv.3	chr8	-	123242355	123254222	NM_028200	Vps9d1
uc009nux.3	chr8	-	123244946	123254222	AK010402	Vps9d1
uc009nva.2	chr8	+	123254194	123257636	AK043258	Zfp276
uc009nvb.2	chr8	+	123254194	123270551	NM_020497	Zfp276
uc009nve.2	chr8	-	123268243	123318576	NM_016925	Fanca
uc009nvg.1	chr8	-	123286188	123313373	AF208117	Fanca
uc009nvh.1	chr8	-	123286188	123318576	AK084990	Fanca
uc009nvj.1	chr8	+	123332712	123369518	NM_172287	Spire2
uc009nvk.1	chr8	+	123350250	123369518	BC026502	Spire2
uc009nvl.2	chr8	+	123373710	123401892	NM_001037878	Tcf25
uc009nvm.2	chr8	+	123373710	123403810	AK122430	Tcf25
uc009nvp.2	chr8	+	123373710	123404174	NM_001037877	Tcf25
uc009nvn.2	chr8	+	123373710	123404174	NM_025804	Tcf25
uc009nvs.2	chr8	+	123407081	123410744	NM_008559	Mc1r
uc009nvt.1	chr8	+	123411563	123422010	NM_023279	Tubb3
uc009nvx.2	chr8	+	123442955	123460515	AK164147	Def8
uc009nvy.2	chr8	+	123442955	123463899	NM_054046	Def8
uc009nwd.2	chr8	+	123477861	123503916	NM_054070	Afg3l1
uc009nwe.2	chr8	+	123477861	123503916	NR_028260	Afg3l1
uc009nwf.1	chr8	+	123499983	123503916	AK006708	Afg3l1
uc009nwh.2	chr8	-	123504717	123515455	NM_001170976	Dbndd1
uc009nwi.2	chr8	-	123505686	123515455	NM_028146	Dbndd1
uc012gms.1	chr8	-	123505686	123515455	NM_001170975	Dbndd1
uc009nwj.1	chr8	+	123518834	123528322	DQ189098	Gas8
uc009nwk.1	chr8	+	123518834	123536650	NM_018855	Gas8
uc009nwm.1	chr8	+	123653928	123663880	NM_133955	Rhou
uc029wwv.1	chr8	+	123733957	123739941	NR_040702	6030466F02Rik
uc009nwo.2	chr8	+	123805995	123835291	NM_009003	Rab4a
uc009nwp.1	chr8	-	123840843	123859530	AK086180	Ccsap
uc009nwq.1	chr8	-	123840843	123860209	NM_028536	Ccsap
uc009nwr.2	chr8	-	123891757	123894775	NM_009606	Acta1
uc009nws.2	chr8	-	123897122	123949265	NM_172288	Nup133
uc009nwt.1	chr8	-	123919835	123949265	AK040528	Nup133
uc009nwv.1	chr8	-	123952458	123983122	NM_019552	Abcb10
uc009nww.2	chr8	-	123996312	124021008	AK033477	Taf5l
uc009nwx.2	chr8	-	123996312	124021309	NM_133966	Taf5l
uc012gmu.1	chr8	+	124022640	124022722	NR_035493	Mir1967
uc012gmv.1	chr8	+	124023393	124048504	BC151125	Urb2
uc009nwy.1	chr8	+	124023459	124048504	NM_001029876	Urb2
uc009nwz.2	chr8	+	124231393	124345723	NM_139272	Galnt2
uc009nxb.1	chr8	-	124369048	124433936	NM_171824	Pgbd5
uc009nxc.2	chr8	+	124520766	124545774	AK157348	Cog2
uc009nxd.2	chr8	+	124520766	124552007	NM_029746	Cog2
uc009nxe.1	chr8	-	124556586	124569707	NM_007428	Agt
uc009nxf.2	chr8	+	124576110	124618731	NM_023709	Capn9
uc009nxg.1	chr8	-	124635755	124663369	NM_175149	2310022B05Rik
uc009nxh.1	chr8	-	124671326	124721975	NM_145607	Ttc13
uc009nxi.1	chr8	-	124671326	124721975	AK160894	Ttc13
uc009nxj.1	chr8	-	124671326	124721975	BC079851	Ttc13
uc009nxk.1	chr8	-	124671326	124721975	BC072577	Ttc13
uc009nxn.1	chr8	+	124722138	124734123	NM_026855	Arv1
uc012gmy.1	chr8	+	124728368	124732428	AK042561	Arv1
uc009nxp.1	chr8	-	124740256	124751809	NM_001081120	Fam89a
uc012gmz.1	chr8	+	124793018	124834704	NM_198632	Trim67
uc009nxs.2	chr8	-	124839354	124863029	NM_025615	2810004N23Rik
uc009nxt.2	chr8	-	124857689	124863029	BC020419	2810004N23Rik
uc009nxu.2	chr8	+	124863032	124886779	BC003225	Gnpat
uc009nxv.2	chr8	+	124863032	124890057	NM_010322	Gnpat
uc009nxw.1	chr8	-	124890298	124897705	NM_198103	Exoc8
uc009nxx.2	chr8	+	124897885	124903813	NM_001111141	Sprtn
uc012gna.1	chr8	-	124908586	124949254	NM_053207	Egln1
uc009nxz.1	chr8	+	125012996	125030421	AK014437	Tsnax
uc009nya.1	chr8	+	125012996	125034192	NM_016909	Tsnax
uc009nyb.1	chr8	+	125054194	125090970	AJ506180	Disc1
uc012gnb.1	chr8	+	125054194	125251065	AY320287	Disc1
uc009nyc.1	chr8	+	125054194	125261151	NM_174854	Disc1
uc009nyd.1	chr8	+	125054194	125261151	NM_174853	Disc1
uc009nye.1	chr8	-	125418062	125492833	NM_001081337	Sipa1l2
uc009nyf.1	chr8	-	125418062	125569756	BC072593	Sipa1l2
uc012gnc.1	chr8	+	125584637	125616670	NR_015535	4930567H12Rik
uc009nyi.2	chr8	+	125669817	125673365	NM_028908	Map10
uc009nyk.2	chr8	+	125734202	125748235	NM_025636	Ntpcr
uc009nyl.1	chr8	-	125751507	125774128	AK030215	Pcnx2
uc009nym.1	chr8	-	125751507	125839850	AK087907	Pcnx2
uc009nyn.2	chr8	-	125751507	125898317	NM_175561	Pcnx2
uc009nyo.1	chr8	-	125837606	125891155	AK043903	Pcnx2
uc009nyq.1	chr8	+	125910449	125947439	NM_145608	BC021891
uc009nyr.3	chr8	+	125995101	126030688	NM_008430	Kcnk1
uc009nys.1	chr8	+	126139381	126395977	AK083105	Slc35f3
uc009nyt.1	chr8	+	126298578	126395977	NM_175434	Slc35f3
uc009nyu.2	chr8	+	126422500	126425435	NM_174987	Coa6
uc012gne.1	chr8	-	126426651	126475065	NM_001159907	Gm17296
uc009nyw.2	chr8	-	126588295	126593436	NM_001164598	Irf2bp2
uc009nza.2	chr8	-	126930663	126945921	NM_024214	Tomm20
uc009nzb.1	chr8	-	126947172	126971079	NM_172762	Rbm34
uc009nzc.1	chr8	-	126947172	126971079	AK016057	Rbm34
uc009nzd.1	chr8	-	126963835	126971079	AK079563	Rbm34
uc009nzf.2	chr8	+	127064055	127402059	NM_001122850	Pard3
uc009nzg.2	chr8	+	127064055	127412201	AK137690	Pard3
uc009nzh.2	chr8	+	127064055	127460384	AK053762	Pard3
uc009nzi.2	chr8	+	127064055	127612286	NM_033620	Pard3
uc012gnf.1	chr8	+	127064055	127612286	BC141187	Pard3
uc009nzk.2	chr8	+	127299611	127402059	NM_001013580	Pard3
uc009nzl.2	chr8	+	127299611	127433144	NM_001013581	Pard3
uc009nzm.1	chr8	+	127357274	127398750	DQ082726	Pard3
uc009nzn.1	chr8	+	127405374	127433144	BC023413	Pard3
uc009nzr.2	chr8	+	128359072	128476615	AK082992	Nrp1
uc009nzt.2	chr8	+	128359072	128505475	NM_008737	Nrp1
uc009nzs.1	chr8	+	128359098	128462081	AK135428	Nrp1
uc012gng.1	chr8	+	128359240	128359320	NR_035436	Mir1903
uc009nzv.2	chr8	+	128685653	128733579	NM_010578	Itgb1
uc009nzy.2	chr8	-	128980018	129065492	NM_029061	Ccdc7a
uc009nzz.2	chr8	-	129045476	129065492	NM_001197041	Ccdc7a
uc009oac.2	chr8	+	129067133	129183732	NM_001168369	Ccdc7b
uc009oab.2	chr8	+	129067133	129183732	NM_029292	Ccdc7b
uc029wwy.2	chr8	-	129216353	129234046	NM_153780	2610044O15Rik8
uc029wxb.1	chr9	-	3038668	3038743	NR_039546	Mir101c
uc009oaq.2	chr9	-	3190268	3199813	NR_027988	4930433N12Rik
uc009oat.1	chr9	+	3335230	3385846	NM_026303	Alkbh8
uc012gnj.1	chr9	+	3335230	3385846	AK160783	Alkbh8
uc009oav.1	chr9	+	3335472	3380423	AK041810	Alkbh8
uc009oaw.1	chr9	+	3335477	3385846	AK033352	Alkbh8
uc009oax.1	chr9	+	3379206	3385846	AK016188	Alkbh8
uc009oaz.1	chr9	+	3404084	3431942	AK031423	Cwf19l2
uc009oba.1	chr9	+	3404084	3479236	NM_027545	Cwf19l2
uc009obc.2	chr9	+	3532348	3761177	AK034879	Gucy1a2
uc009obd.2	chr9	+	3532348	3905787	NM_001033322	Gucy1a2
uc009obe.2	chr9	-	4294792	4309494	NM_026276	Aasdhppt
uc009obf.2	chr9	-	4294792	4309494	AK008554	Aasdhppt
uc009obj.2	chr9	+	4309742	4331732	NM_026962	Kbtbd3
uc009obl.2	chr9	+	4309742	4331732	NM_001164574	Kbtbd3
uc009obk.2	chr9	+	4309742	4331732	BC027392	Kbtbd3
uc009obm.1	chr9	+	4376561	4386869	AK132023	Msantd4
uc009obn.1	chr9	+	4383536	4386869	NM_145609	Msantd4
uc009obo.2	chr9	-	4417892	4795374	AB022913	Gria4
uc012gnm.1	chr9	-	4417892	4796234	NM_001113180	Gria4
uc009obp.2	chr9	-	4417892	4796234	NM_019691	Gria4
uc009obq.2	chr9	-	4478262	4796234	NM_001113181	Gria4
uc009obr.1	chr9	+	5298516	5307281	NM_009807	Casp1
uc009obt.3	chr9	+	5308848	5329253	AK138730	Casp4
uc009obu.3	chr9	+	5308848	5336791	NM_007609	Casp4
uc009obv.2	chr9	+	5345475	5353445	AK046681	Casp12
uc009obw.2	chr9	+	5345475	5354448	AK053407	Casp12
uc012gno.1	chr9	+	5345475	5358843	AY675223	Casp12
uc009obx.2	chr9	+	5345475	5373034	NM_009808	Casp12
uc009oby.1	chr9	+	6168611	6377519	NM_027924	Pdgfd
uc009obz.1	chr9	+	6168611	6377519	AK141551	Pdgfd
uc009oca.1	chr9	-	6265027	6266547	NM_027942	Ddi1
uc009occ.1	chr9	-	6928502	7177230	NM_029851	Dync2h1
uc009ocf.1	chr9	+	7184565	7207031	NM_029775	Dcun1d5
uc009ocg.2	chr9	+	7272513	7283333	NM_008607	Mmp13
uc009oci.1	chr9	+	7347373	7360461	NM_008605	Mmp12
uc009ock.1	chr9	+	7347373	7369499	AK089295	Mmp12
uc009ocn.1	chr9	-	7367669	7388026	NM_032007	Mmp1b
uc009oco.1	chr9	+	7445821	7455974	NM_010809	Mmp3
